date,value
2019/12/26,2
2020/1/22,1
2020/1/25,4
2020/1/26,1
2020/1/29,2
2020/1/30,3
2020/2/1,1
2020/2/2,1
2020/2/4,1
2020/2/6,3
2020/2/8,1
2020/2/12,1
2020/2/16,1
2020/2/18,1
2020/2/21,1
2020/2/22,1
2020/2/25,1
2020/2/26,2
2020/2/27,5
2020/2/28,2
2020/2/29,4
2020/3/1,1
2020/3/5,2
2020/3/6,1
2020/3/7,2
2020/3/10,1
2020/3/11,2
2020/3/12,2
2020/3/13,4
2020/3/14,2
2020/3/15,1
2020/3/16,7
2020/3/17,7
2020/3/18,5
2020/3/19,3
2020/3/20,6
2020/3/21,1
2020/3/22,3
2020/3/23,5
2020/3/24,3
2020/3/25,9
2020/3/26,5
2020/3/27,3
2020/3/28,3
2020/3/29,2
2020/3/30,4
2020/3/31,5
2020/4/1,13
2020/4/2,6
2020/4/3,2
2020/4/4,3
2020/4/5,1
2020/4/6,1
2020/4/9,1
2020/4/10,2
2020/4/11,1
2020/4/12,1
2020/4/13,1
2020/4/15,5
2020/4/16,1
2020/4/17,1
2020/4/18,1
2020/4/19,1
2020/4/20,2
2020/4/21,2
2020/4/22,1
2020/4/23,1
2020/4/24,3
2020/4/25,3
2020/4/26,4
2020/4/27,3
2020/4/28,3
2020/4/29,2
2020/4/30,3
2020/5/1,7
2020/5/2,4
2020/5/3,3
2020/5/4,2
2020/5/5,4
2020/5/6,3
2020/5/7,4
2020/5/8,2
2020/5/10,1
2020/5/12,1
2020/5/13,2
2020/5/14,4
2020/5/15,1
2020/5/16,1
2020/5/17,1
2020/5/18,1
2020/5/20,2
2020/5/21,1
2020/5/22,2
2020/5/23,2
2020/5/24,1
2020/5/26,1
2020/5/27,2
2020/5/30,3
2020/5/31,1
2020/6/1,1
2020/6/2,2
2020/6/3,1
2020/6/4,8
2020/6/6,2
2020/6/8,5
2020/6/9,1
2020/6/10,1
2020/6/11,2
2020/6/14,3
2020/6/15,2
2020/6/16,2
2020/6/17,1
2020/6/19,1
2020/6/20,2
2020/6/21,2
2020/6/22,1
2020/6/23,1
2020/6/24,2
2020/6/25,1
2020/6/29,8
2020/6/30,2
2020/7/1,3
2020/7/2,3
2020/7/3,1
2020/7/4,2
2020/7/6,2
2020/7/7,2
2020/7/8,1
2020/7/10,2
2020/7/12,1
2020/7/14,6
2020/7/15,1
2020/7/16,3
2020/7/18,2
2020/7/19,1
2020/7/20,8
2020/7/21,1
2020/7/23,1
2020/7/25,1
2020/7/26,1
2020/7/27,1
2020/7/28,3
2020/7/29,1
2020/7/30,1
2020/7/31,1
2020/8/1,2
2020/8/3,5
2020/8/6,2
2020/8/8,2
2020/8/11,2
2020/8/13,2
2020/8/15,3
2020/8/18,2
2020/8/19,3
2020/8/20,5
2020/8/21,2
2020/8/22,1
2020/8/23,1
2020/8/24,1
2020/8/26,1
2020/8/28,2
2020/8/29,2
2020/8/30,2
2020/9/1,2
2020/9/2,1
2020/9/3,2
2020/9/7,2
2020/9/8,1
2020/9/9,2
2020/9/10,2
2020/9/11,1
2020/9/13,1
2020/9/14,4
2020/9/15,4
2020/9/16,5
2020/9/21,1
2020/9/22,3
2020/9/24,2
2020/9/28,2
2020/9/29,1
2020/9/30,3
2020/10/1,1
2020/10/2,2
2020/10/3,1
2020/10/4,1
2020/10/5,4
2020/10/6,1
2020/10/8,2
2020/10/9,1
2020/10/10,1
2020/10/11,1
2020/10/14,3
2020/10/15,2
2020/10/16,2
2020/10/17,1
2020/10/19,1
2020/10/21,1
2020/10/22,1
2020/10/23,1
2020/10/25,1
2020/10/26,1
2020/10/29,2
2020/10/30,1
2020/10/31,2
2020/11/1,2
2020/11/2,1
2020/11/3,1
2020/11/5,2
2020/11/6,1
2020/11/7,1
2020/11/8,1
2020/11/10,2
2020/11/11,2
2020/11/13,1
2020/11/15,2
2020/11/16,3
2020/11/18,3
2020/11/19,1
2020/11/21,3
2020/11/23,1
2020/11/24,2
2020/11/25,1
2020/11/27,1
2020/11/28,1
2020/11/29,1
2020/11/30,2
2020/12/1,3
2020/12/2,3
2020/12/3,2
2020/12/4,1
2020/12/5,1
2020/12/8,1
2020/12/9,2
2020/12/11,1
2020/12/12,1
2020/12/14,1
2020/12/17,3
2020/12/18,2
2020/12/19,1
2020/12/20,2
2020/12/21,3
2020/12/22,2
2020/12/23,1
2020/12/24,1
2020/12/26,1
2020/12/27,5
2020/12/28,2
2020/12/29,2
2020/12/31,4
2021/1/1,3
2021/1/2,3
2021/1/3,1
2021/1/4,4
2021/1/6,2
2021/1/7,1
2021/1/8,2
2021/1/9,2
2021/1/10,1
2021/1/13,2
2021/1/15,3
2021/1/17,1
2021/1/18,2
2021/1/20,5
2021/1/21,2
2021/1/22,4
2021/1/23,1
2021/1/24,2
2021/1/25,1
2021/1/26,4
2021/1/27,1
2021/1/28,1
2021/1/29,2
2021/1/30,2
2021/1/31,6
2021/2/1,2
2021/2/2,2
2021/2/3,5
2021/2/4,2
2021/2/5,4
2021/2/7,1
2021/2/8,6
2021/2/9,5
2021/2/10,2
2021/2/11,1
2021/2/13,2
2021/2/14,1
2021/2/15,3
2021/2/16,2
2021/2/18,1
2021/2/19,2
2021/2/20,4
2021/2/22,2
2021/2/23,2
2021/2/24,3
2021/2/25,3
2021/2/26,5
2021/2/27,1
2021/2/28,2
2021/3/1,1
2021/3/2,2
2021/3/4,6
2021/3/6,1
2021/3/7,1
2021/3/8,2
2021/3/9,2
2021/3/10,2
2021/3/11,5
2021/3/12,1
2021/3/13,5
2021/3/14,3
2021/3/15,2
2021/3/16,2
2021/3/17,1
2021/3/19,1
2021/3/23,1
2021/3/24,2
2021/3/25,4
2021/3/26,2
2021/3/27,1
2021/3/29,2
2021/3/30,4
2021/4/1,2
2021/4/4,3
2021/4/5,1
2021/4/6,3
2021/4/7,3
2021/4/8,2
2021/4/9,4
2021/4/11,2
2021/4/12,2
2021/4/13,2
2021/4/14,1
2021/4/15,2
2021/4/17,3
2021/4/18,1
2021/4/19,4
2021/4/20,1
2021/4/22,1
2021/4/24,2
2021/4/25,1
2021/4/26,2
2021/4/27,1
2021/4/29,2
2021/4/30,1
2021/5/1,6
2021/5/2,1
2021/5/3,3
2021/5/5,4
2021/5/6,1
2021/5/7,2
2021/5/8,2
2021/5/10,3
2021/5/12,4
2021/5/13,1
2021/5/15,3
2021/5/17,4
2021/5/18,1
2021/5/19,2
2021/5/20,2
2021/5/21,1
2021/5/24,3
2021/5/25,2
2021/5/26,1
2021/5/28,3
2021/5/30,2
2021/5/31,1
2021/6/1,1
2021/6/2,1
2021/6/3,1
2021/6/4,1
2021/6/5,2
2021/6/7,3
2021/6/8,1
2021/6/9,1
2021/6/11,1
2021/6/15,2
2021/6/16,1
2021/6/17,3
2021/6/18,1
2021/6/20,1
2021/6/21,1
2021/6/22,2
2021/6/24,1
2021/6/25,2
2021/6/28,3
2021/6/29,3
2021/6/30,2
2021/7/2,1
2021/7/4,1
2021/7/7,3
2021/7/8,1
2021/7/9,1
2021/7/12,3
2021/7/13,1
2021/7/14,3
2021/7/15,1
2021/7/20,2
2021/7/22,2
2021/7/25,1
2021/7/26,2
2021/7/27,1
